run,burned_cells
run_0001,4075
run_0002,3106
run_0003,2145
run_0004,1212
run_0005,1098
run_0006,4878
run_0007,5608
run_0008,5350
run_0009,4261
run_0010,2840
run_0011,1936
run_0012,17
run_0013,189
run_0014,2269
run_0015,2574
run_0016,2457
run_0017,7269
run_0018,6497
run_0019,6401
run_0020,5151
run_0021,3341
run_0022,2265
run_0023,1588
run_0024,5180
run_0025,5451
run_0026,4541
run_0027,3578
run_0028,6269
run_0029,16212
run_0030,10956
run_0031,10105
run_0032,8183
run_0033,5715
run_0034,3476
run_0035,2243
run_0036,4636
run_0037,3884
run_0038,1
run_0039,5702
run_0040,5743
run_0041,5520
run_0042,7389
run_0043,21266
run_0044,34005
run_0045,29512
run_0046,25062
run_0047,15146
run_0048,5599
run_0049,5777
run_0050,5540
run_0051,5008
run_0052,4325
run_0053,3447
run_0054,339
run_0055,5185
run_0056,5930
run_0057,5254
run_0058,8821
run_0059,9855
run_0060,31405
run_0061,36885
run_0062,35727
run_0063,31573
run_0064,23120
run_0065,13841
run_0066,6670
run_0067,5894
run_0068,5209
run_0069,4841
run_0070,4278
run_0071,3983
run_0072,4006
run_0073,339
run_0074,5462
run_0075,5851
run_0076,6106
run_0077,7035
run_0078,13479
run_0079,35389
run_0080,36530
run_0081,37465
run_0082,35903
run_0083,35333
run_0084,27291
run_0085,16455
run_0086,13252
run_0087,5947
run_0088,5255
run_0089,4448
run_0090,4114
run_0091,4040
run_0092,3806
run_0093,5253
run_0094,4056
run_0095,937
run_0096,5882
run_0097,6363
run_0098,6882
run_0099,7773
run_0100,20547
run_0101,36454
run_0102,37245
run_0103,36499
run_0104,31282
run_0105,25684
run_0106,25823
run_0107,18766
run_0108,15071
run_0109,7639
run_0110,6425
run_0111,5759
run_0112,5186
run_0113,4876
run_0114,4522
run_0115,2343
run_0116,4799
run_0117,4364
run_0118,5442
run_0119,7228
run_0120,6744
run_0121,6198
run_0122,9814
run_0123,17006
run_0124,28286
run_0125,30315
run_0126,29172
run_0127,23864
run_0128,22881
run_0129,22520
run_0130,21463
run_0131,18659
run_0132,17404
run_0133,9539
run_0134,7704
run_0135,6966
run_0136,5831
run_0137,5264
run_0138,4909
run_0139,4728
run_0140,4468
run_0141,4925
run_0142,3838
run_0143,6059
run_0144,7020
run_0145,8030
run_0146,7434
run_0147,12859
run_0148,18904
run_0149,29407
run_0150,33814
run_0151,36121
run_0152,32168
run_0153,22995
run_0154,22193
run_0155,18956
run_0156,19920
run_0157,17180
run_0158,13076
run_0159,9798
run_0160,8168
run_0161,7115
run_0162,5735
run_0163,5883
run_0164,5702
run_0165,5162
run_0166,4958
run_0167,3334
run_0168,8603
run_0169,1
run_0170,6253
run_0171,7372
run_0172,7644
run_0173,7847
run_0174,9753
run_0175,17383
run_0176,26872
run_0177,30756
run_0178,33204
run_0179,31638
run_0180,26626
run_0181,19906
run_0182,20298
run_0183,21540
run_0184,17482
run_0185,12662
run_0186,10443
run_0187,8264
run_0188,6799
run_0189,9311
run_0190,11009
run_0191,9622
run_0192,6697
run_0193,5881
run_0194,4625
run_0195,3971
run_0196,3298
run_0197,8230
run_0198,9221
run_0199,9777
run_0200,10190
run_0201,9693
run_0202,10277
run_0203,12679
run_0204,17266
run_0205,23170
run_0206,33085
run_0207,35387
run_0208,29861
run_0209,25123
run_0210,20279
run_0211,18937
run_0212,20933
run_0213,21430
run_0214,12320
run_0215,11547
run_0216,8515
run_0217,5980
run_0218,14660
run_0219,15922
run_0220,16347
run_0221,11896
run_0222,9469
run_0223,6579
run_0224,5517
run_0225,4546
run_0226,3774
run_0227,2631
run_0228,1979
run_0229,1
run_0230,1
run_0231,11547
run_0232,11026
run_0233,10913
run_0234,10062
run_0235,12279
run_0236,16977
run_0237,25394
run_0238,31594
run_0239,35920
run_0240,30951
run_0241,28203
run_0242,23716
run_0243,25071
run_0244,21802
run_0245,23071
run_0246,24265
run_0247,18924
run_0248,10140
run_0249,14829
run_0250,16651
run_0251,18243
run_0252,22535
run_0253,20437
run_0254,14879
run_0255,9958
run_0256,8010
run_0257,6427
run_0258,4671
run_0259,4044
run_0260,3258
run_0261,2052
run_0262,1330
run_0263,8970
run_0264,10017
run_0265,11163
run_0266,11293
run_0267,10882
run_0268,6880
run_0269,10173
run_0270,12769
run_0271,32936
run_0272,40807
run_0273,32657
run_0274,40550
run_0275,41238
run_0276,41356
run_0277,34239
run_0278,33375
run_0279,39919
run_0280,37678
run_0281,30156
run_0282,25090
run_0283,15921
run_0284,20854
run_0285,19279
run_0286,24641
run_0287,23823
run_0288,17768
run_0289,14274
run_0290,9872
run_0291,7542
run_0292,6590
run_0293,4349
run_0294,5671
run_0295,3989
run_0296,1330
run_0297,1330
run_0298,1330
run_0299,11372
run_0300,10709
run_0301,12222
run_0302,12327
run_0303,11542
run_0304,11404
run_0305,11399
run_0306,15082
run_0307,31810
run_0308,40434
run_0309,41813
run_0310,44601
run_0311,52047
run_0312,58007
run_0313,46427
run_0314,48789
run_0315,38368
run_0316,42533
run_0317,39281
run_0318,35058
run_0319,30738
run_0320,31665
run_0321,28976
run_0322,24700
run_0323,26952
run_0324,20614
run_0325,17351
run_0326,11578
run_0327,9925
run_0328,6429
run_0329,4698
run_0330,6826
run_0331,6940
run_0332,5304
run_0333,1330
