Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
404_P90_20180820_24H_PREVAILING,2018-08-20 00:00,0.0,14.8,45.0,2.5,193,89.794,217.442,638.593,4.722,234.913,23.774
404_P90_20180820_24H_PREVAILING,2018-08-20 01:00,0.0,14.4,46.0,0.0,193,89.773,217.442,638.593,4.15,234.913,21.698
404_P90_20180820_24H_PREVAILING,2018-08-20 02:00,0.0,14.4,47.0,1.8,193,89.716,217.442,638.593,4.507,234.913,23.007
404_P90_20180820_24H_PREVAILING,2018-08-20 03:00,0.0,14.5,42.0,5.0,193,89.733,217.442,638.593,5.308,234.913,25.799
404_P90_20180820_24H_PREVAILING,2018-08-20 04:00,0.0,14.7,43.0,7.4,193,89.731,217.442,638.593,5.989,234.913,28.034
404_P90_20180820_24H_PREVAILING,2018-08-20 05:00,0.0,14.4,47.0,6.5,193,89.655,217.442,638.593,5.662,234.913,26.974
404_P90_20180820_24H_PREVAILING,2018-08-20 06:00,0.0,14.6,51.0,5.8,193,89.518,217.442,638.593,5.359,234.913,25.97
404_P90_20180820_24H_PREVAILING,2018-08-20 07:00,0.0,15.6,50.0,6.2,193,89.424,217.442,638.593,5.395,234.913,26.089
404_P90_20180820_24H_PREVAILING,2018-08-20 08:00,0.0,17.5,49.0,6.0,193,89.386,217.442,638.593,5.312,234.913,25.812
404_P90_20180820_24H_PREVAILING,2018-08-20 09:00,0.0,21.3,33.0,11.1,193,89.641,217.442,638.593,7.124,234.913,31.528
404_P90_20180820_24H_PREVAILING,2018-08-20 10:00,0.0,23.0,28.0,14.2,193,90.108,217.442,638.593,8.905,234.913,36.557
404_P90_20180820_24H_PREVAILING,2018-08-20 11:00,0.0,24.6,26.0,11.8,193,90.629,217.442,638.593,8.501,234.913,35.457
404_P90_20180820_24H_PREVAILING,2018-08-20 12:00,0.0,26.2,23.0,10.1,193,91.244,217.442,638.593,8.519,234.913,35.538
404_P90_20180820_24H_PREVAILING,2018-08-20 13:00,0.0,26.6,22.0,11.2,193,91.818,217.442,638.593,9.767,234.913,38.873
404_P90_20180820_24H_PREVAILING,2018-08-20 14:00,0.0,26.1,22.0,12.2,193,92.264,217.442,638.593,10.942,234.913,41.831
404_P90_20180820_24H_PREVAILING,2018-08-20 15:00,0.0,25.2,23.0,14.3,193,92.55,217.442,638.593,12.664,234.913,45.921
404_P90_20180820_24H_PREVAILING,2018-08-20 16:00,0.0,24.4,23.0,10.1,193,92.743,217.442,638.593,10.529,234.913,40.809
404_P90_20180820_24H_PREVAILING,2018-08-20 17:00,0.0,22.9,25.0,10.7,193,92.793,217.442,638.593,10.929,234.913,41.801
404_P90_20180820_24H_PREVAILING,2018-08-20 18:00,0.0,21.5,27.0,7.6,193,92.843,217.442,638.593,9.415,234.913,37.954
404_P90_20180820_24H_PREVAILING,2018-08-20 19:00,0.0,19.5,30.0,4.6,193,92.859,217.442,638.593,8.111,234.913,34.416
404_P90_20180820_24H_PREVAILING,2018-08-20 20:00,0.0,18.2,34.0,6.2,193,92.775,217.442,638.593,8.689,234.913,36.014
404_P90_20180820_24H_PREVAILING,2018-08-20 21:00,0.0,17.7,36.0,5.0,193,92.66,217.442,638.593,8.048,234.913,34.238
404_P90_20180820_24H_PREVAILING,2018-08-20 22:00,0.0,17.2,37.0,7.3,193,92.516,217.442,638.593,8.857,234.913,36.468
404_P90_20180820_24H_PREVAILING,2018-08-20 23:00,0.0,16.6,38.0,2.3,193,92.398,217.442,638.593,6.771,234.913,30.504
